AP_Rnk,PS_Rnk,KP_Rank,TournamentYear,TeamID,TS_Team,Auto Bid,KP_Conference,TS_GP,STA_W,STA_L,STA_Pct,STA_Conf_W,STA_Conf_L,STA_Conf_Pct,STA_Home_W,STA_Home_L,STA_Away_W,STA_Away_L,STA_Neutral_W,STA_Neutral_L,STA_Top25_W,STA_Top25_L,STA_Conf_PF,STA_Conf_PA,STA_Conf_PPG,STA_Conf_PAPG,STA_PF,STA_PA,STA_PPG,STA_PAPG,TS_FGM,TS_FGA,TS_FG%,TS_3PM,TS_3PA,TS_3P%,TS_FTM,TS_FTA,TS_FT%,KP_Ajusted Efficiency Margin,KP_Adjusted Offensive Efficiency,KP_AOE Rk,KP_Adjusted Defensive Efficiency,KP_ADE Rk,KP_Adjusted Tempo,KP_AT Rk,KP_Luck,KP_Luck Rk,KP_Strength of Schedule,KP_SOS Rk,KP_Non-Conference Strength of Schedule,KP_NCSOS Rk,KP_Average Opponents Offensive Efficiency,KP_AOOE Rk,KP_Average Opponents Defensive Efficiency,KP_AODE Rk,Round,Round Number,Team,Seed,PF**,Opp_AP_Rnk,Opp_PS_Rnk,Opp_KP_Rank,OppTeamID,Opp_TS_Team,Opp_KP_Conference,Opp_TS_GP,Opp_STA_W,Opp_STA_L,Opp_STA_Pct,Opp_STA_Conf_W,Opp_STA_Conf_L,Opp_STA_Conf_Pct,Opp_STA_Home_W,Opp_STA_Home_L,Opp_STA_Away_W,Opp_STA_Away_L,Opp_STA_Neutral_W,Opp_STA_Neutral_L,Opp_STA_Top25_W,Opp_STA_Top25_L,Opp_STA_Conf_PF,Opp_STA_Conf_PA,Opp_STA_Conf_PPG,Opp_STA_Conf_PAPG,Opp_STA_PF,Opp_STA_PA,Opp_STA_PPG,Opp_STA_PAPG,Opp_TS_FGM,Opp_TS_FGA,Opp_TS_FG%,Opp_TS_3PM,Opp_TS_3PA,Opp_TS_3P%,Opp_TS_FTM,Opp_TS_FTA,Opp_TS_FT%,Opp_KP_Ajusted Efficiency Margin,Opp_KP_Adjusted Offensive Efficiency,Opp_KP AOW Rk,Opp_KP_Adjusted Defensive Efficiency,Opp_KP_ADE Rk,Opp_KP_Adjusted Tempo,Opp_KP_AT Rk,Opp_KP_Luck,Opp_KP_Luck_Rk,Opp_KP_Strength of Schedule,Opp_KP_SOS Rk,Opp_KP_Non-Conference Strength of Schedule,Opp_KP_NCSOS Rk,Opp_KP_Average Opponents Offensive Efficiency,Opp_KP_AOOE Rk,Opp_KP_Average Opponents Defensive Efficiency,Opp_KP_AODE Rk,OppTeam,OppSeed,GameID
,,37,2021,28,Florida  ,0,SEC,23.00,14.00,9.00,0.609,9.00,7.00,0.563,6.00,3.00,5.00,5.00,3.00,1.00,2.00,2.00,1158.00,1123.00,72.4,70.2,1701.00,1606.00,74,69.8,605.00,1303.00,0.464,157.00,440.00,0.357,334.00,441.00,0.757,18.98,111.7,40,92.7,37,68.7,165,0.003,166,14.62,23,8.64,76,109.7,27,95.1,25,First Round,1,Florida,7,75,25,,50,37,Virginia Tech,ACC,21.00,15.00,6.00,0.714,9.00,4.00,0.692,10.00,2.00,3.00,3.00,2.00,1.00,4.00,0.00,908.00,855.00,69.8,65.8,1515.00,1376.00,72.1,65.5,534.00,1183.00,0.451,173.00,485.00,0.357,274.00,393.00,0.697,16.65,110.7,55,94.1,54,66.2,293,0.066,45,9.31,80,0.54,206,107.6,71,98.2,104,Virginia Tech,10,25
25,,50,2021,37,Virginia Tech,0,ACC,21.00,15.00,6.00,0.714,9.00,4.00,0.692,10.00,2.00,3.00,3.00,2.00,1.00,4.00,0.00,908.00,855.00,69.8,65.8,1515.00,1376.00,72.1,65.5,534.00,1183.00,0.451,173.00,485.00,0.357,274.00,393.00,0.697,16.65,110.7,55,94.1,54,66.2,293,0.066,45,9.31,80,0.54,206,107.6,71,98.2,104,First Round,1,Virginia Tech,10,70,,,37,28,Florida  ,SEC,23.00,14.00,9.00,0.609,9.00,7.00,0.563,6.00,3.00,5.00,5.00,3.00,1.00,2.00,2.00,1158.00,1123.00,72.4,70.2,1701.00,1606.00,74,69.8,605.00,1303.00,0.464,157.00,440.00,0.357,334.00,441.00,0.757,18.98,111.7,40,92.7,37,68.7,165,0.003,166,14.62,23,8.64,76,109.7,27,95.1,25,Florida,7,25
7,23,7,2021,6,Ohio State,0,Big Ten,30.00,21.00,9.00,0.7,12.00,8.00,0.6,10.00,4.00,7.00,4.00,4.00,1.00,7.00,5.00,1519.00,1427.00,76,71.4,2320.00,2129.00,77.3,71,790.00,1719.00,0.46,247.00,677.00,0.365,493.00,646.00,0.763,26.85,123,4,96.1,79,67.1,247,0.003,163,18.78,5,2.86,162,111.7,8,92.9,3,First Round,1,Ohio State,2,72,,,152,61,Oral Roberts,Summit League,26.00,16.00,10.00,0.615,10.00,5.00,0.667,8.00,3.00,5.00,7.00,3.00,0.00,0.00,0.00,1222.00,1134.00,81.5,75.6,2126.00,1970.00,81.8,75.8,734.00,1617.00,0.454,294.00,754.00,0.39,364.00,442.00,0.824,2.64,109.4,74,106.7,285,71.8,47,0.013,147,0.01,177,21.34,4,102.9,173,102.8,206,Oral Roberts,15,26
,,152,2021,61,Oral Roberts,1,Summit League,26.00,16.00,10.00,0.615,10.00,5.00,0.667,8.00,3.00,5.00,7.00,3.00,0.00,0.00,0.00,1222.00,1134.00,81.5,75.6,2126.00,1970.00,81.8,75.8,734.00,1617.00,0.454,294.00,754.00,0.39,364.00,442.00,0.824,2.64,109.4,74,106.7,285,71.8,47,0.013,147,0.01,177,21.34,4,102.9,173,102.8,206,First Round,1,Oral Roberts,15,75,7,23,7,6,Ohio State,Big Ten,30.00,21.00,9.00,0.7,12.00,8.00,0.6,10.00,4.00,7.00,4.00,4.00,1.00,7.00,5.00,1519.00,1427.00,76,71.4,2320.00,2129.00,77.3,71,790.00,1719.00,0.46,247.00,677.00,0.365,493.00,646.00,0.763,26.85,123,4,96.1,79,67.1,247,0.003,163,18.78,5,2.86,162,111.7,8,92.9,3,Ohio State,2,26
2,8,3,2021,3,Illinois,1,Big Ten,29.00,23.00,6.00,0.793,16.00,4.00,0.8,11.00,2.00,9.00,3.00,3.00,0.00,8.00,3.00,1572.00,1377.00,78.6,68.9,2361.00,2008.00,81.4,69.2,851.00,1707.00,0.499,197.00,524.00,0.376,462.00,669.00,0.691,32.04,119.7,7,87.6,5,70.7,80,0.03,110,18.88,3,9.95,57,112.6,2,93.7,9,First Round,1,Illinois,1,78,,,146,63,Drexel,CAA,19.00,12.00,7.00,0.632,4.00,5.00,0.444,3.00,2.00,4.00,5.00,5.00,0.00,0.00,0.00,648.00,626.00,72,69.6,1358.00,1270.00,71.5,66.8,495.00,1038.00,0.477,138.00,371.00,0.372,230.00,296.00,0.777,3.05,107.8,95,104.8,247,64.2,340,-0.043,273,-3.31,238,-5.56,289,100.4,242,103.7,240,Drexel,16,27
,,146,2021,63,Drexel,1,CAA,19.00,12.00,7.00,0.632,4.00,5.00,0.444,3.00,2.00,4.00,5.00,5.00,0.00,0.00,0.00,648.00,626.00,72,69.6,1358.00,1270.00,71.5,66.8,495.00,1038.00,0.477,138.00,371.00,0.372,230.00,296.00,0.777,3.05,107.8,95,104.8,247,64.2,340,-0.043,273,-3.31,238,-5.56,289,100.4,242,103.7,240,First Round,1,Drexel,16,49,2,8,3,3,Illinois,Big Ten,29.00,23.00,6.00,0.793,16.00,4.00,0.8,11.00,2.00,9.00,3.00,3.00,0.00,8.00,3.00,1572.00,1377.00,78.6,68.9,2361.00,2008.00,81.4,69.2,851.00,1707.00,0.499,197.00,524.00,0.376,462.00,669.00,0.691,32.04,119.7,7,87.6,5,70.7,80,0.03,110,18.88,3,9.95,57,112.6,2,93.7,9,Illinois,1,27
17,,9,2021,30,Loyola-Chicago,1,Missouri Valley,28.00,24.00,4.00,0.857,16.00,2.00,0.889,13.00,0.00,8.00,3.00,3.00,1.00,0.00,1.00,1263.00,971.00,70.2,53.9,2002.00,1555.00,71.5,55.5,735.00,1456.00,0.505,201.00,546.00,0.368,331.00,458.00,0.723,25.18,111.1,49,85.9,1,64.2,342,-0.02,226,4.11,134,4.7,129,104.3,136,100.2,136,First Round,1,Loyola-Chicago,8,71,,,32,34,Georgia Tech,ACC,25.00,17.00,8.00,0.68,11.00,6.00,0.647,10.00,3.00,4.00,5.00,3.00,0.00,5.00,3.00,1220.00,1144.00,71.8,67.3,1888.00,1750.00,75.5,70,695.00,1466.00,0.474,189.00,541.00,0.349,309.00,425.00,0.727,19.98,114,27,94.1,52,67.8,215,-0.005,192,12.25,50,-0.99,228,108.7,47,96.5,51,Georgia Tech,9,28
,,32,2021,34,Georgia Tech,1,ACC,25.00,17.00,8.00,0.68,11.00,6.00,0.647,10.00,3.00,4.00,5.00,3.00,0.00,5.00,3.00,1220.00,1144.00,71.8,67.3,1888.00,1750.00,75.5,70,695.00,1466.00,0.474,189.00,541.00,0.349,309.00,425.00,0.727,19.98,114,27,94.1,52,67.8,215,-0.005,192,12.25,50,-0.99,228,108.7,47,96.5,51,First Round,1,Georgia Tech,9,60,17,,9,30,Loyola-Chicago,Missouri Valley,28.00,24.00,4.00,0.857,16.00,2.00,0.889,13.00,0.00,8.00,3.00,3.00,1.00,0.00,1.00,1263.00,971.00,70.2,53.9,2002.00,1555.00,71.5,55.5,735.00,1456.00,0.505,201.00,546.00,0.368,331.00,458.00,0.723,25.18,111.1,49,85.9,1,64.2,342,-0.02,226,4.11,134,4.7,129,104.3,136,100.2,136,Loyola-Chicago,8,28
,12,21,2021,19,Tennessee,0,SEC,26.00,18.00,8.00,0.692,10.00,7.00,0.588,13.00,3.00,4.00,4.00,1.00,1.00,2.00,2.00,1174.00,1128.00,69.1,66.4,1885.00,1644.00,72.5,63.2,661.00,1492.00,0.443,173.00,513.00,0.337,390.00,523.00,0.746,22.49,109.5,71,87,4,67.3,233,-0.007,199,12.44,49,-0.69,223,108.3,54,95.8,40,First Round,1,Tennessee,5,56,,,85,46,Oregon State,Pac-12,29.00,17.00,12.00,0.586,10.00,10.00,0.5,10.00,6.00,4.00,6.00,3.00,0.00,2.00,1.00,1337.00,1379.00,66.9,69,2049.00,1981.00,70.7,68.3,712.00,1638.00,0.435,203.00,575.00,0.353,422.00,557.00,0.758,11.6,110,65,98.4,117,65.4,315,0.075,38,11.16,62,-6.2,292,108.6,49,97.4,80,Oregon State,12,29
,,85,2021,46,Oregon State,1,Pac-12,29.00,17.00,12.00,0.586,10.00,10.00,0.5,10.00,6.00,4.00,6.00,3.00,0.00,2.00,1.00,1337.00,1379.00,66.9,69,2049.00,1981.00,70.7,68.3,712.00,1638.00,0.435,203.00,575.00,0.353,422.00,557.00,0.758,11.6,110,65,98.4,117,65.4,315,0.075,38,11.16,62,-6.2,292,108.6,49,97.4,80,First Round,1,Oregon State,12,70,,12,21,19,Tennessee,SEC,26.00,18.00,8.00,0.692,10.00,7.00,0.588,13.00,3.00,4.00,4.00,1.00,1.00,2.00,2.00,1174.00,1128.00,69.1,66.4,1885.00,1644.00,72.5,63.2,661.00,1492.00,0.443,173.00,513.00,0.337,390.00,523.00,0.746,22.49,109.5,71,87,4,67.3,233,-0.007,199,12.44,49,-0.69,223,108.3,54,95.8,40,Tennessee,5,29
11,,30,2021,15,Oklahoma State,0,Big 12,28.00,20.00,8.00,0.714,11.00,7.00,0.611,10.00,3.00,8.00,4.00,2.00,1.00,9.00,5.00,1372.00,1322.00,76.2,73.4,2158.00,2041.00,77.1,72.9,775.00,1658.00,0.467,179.00,529.00,0.338,429.00,602.00,0.713,20.2,110.8,54,90.6,22,72,43,0.039,89,14.63,22,4.55,134,110.6,16,96,42,First Round,1,Oklahoma State,4,69,,,97,53,Liberty,Atlantic Sun,28.00,23.00,5.00,0.821,11.00,2.00,0.846,13.00,0.00,5.00,3.00,5.00,2.00,0.00,0.00,926.00,779.00,71.2,59.9,2097.00,1670.00,74.9,59.6,761.00,1549.00,0.491,289.00,740.00,0.391,286.00,368.00,0.777,9.8,110.8,52,101,168,63.1,348,-0.013,211,-6.63,314,1.17,195,98.5,299,105.1,310,Liberty,13,30
,,97,2021,53,Liberty,1,Atlantic Sun,28.00,23.00,5.00,0.821,11.00,2.00,0.846,13.00,0.00,5.00,3.00,5.00,2.00,0.00,0.00,926.00,779.00,71.2,59.9,2097.00,1670.00,74.9,59.6,761.00,1549.00,0.491,289.00,740.00,0.391,286.00,368.00,0.777,9.8,110.8,52,101,168,63.1,348,-0.013,211,-6.63,314,1.17,195,98.5,299,105.1,310,First Round,1,Liberty,13,60,11,,30,15,Oklahoma State,Big 12,28.00,20.00,8.00,0.714,11.00,7.00,0.611,10.00,3.00,8.00,4.00,2.00,1.00,9.00,5.00,1372.00,1322.00,76.2,73.4,2158.00,2041.00,77.1,72.9,775.00,1658.00,0.467,179.00,529.00,0.338,429.00,602.00,0.713,20.2,110.8,54,90.6,22,72,43,0.039,89,14.63,22,4.55,134,110.6,16,96,42,Oklahoma State,4,30
16,,20,2021,24,San Diego State,1,Mountain West,27.00,23.00,4.00,0.852,14.00,3.00,0.824,13.00,2.00,6.00,2.00,4.00,0.00,2.00,0.00,1272.00,1036.00,74.8,60.9,2000.00,1635.00,74.1,60.6,695.00,1529.00,0.455,229.00,611.00,0.375,381.00,527.00,0.723,22.72,111.5,44,88.8,11,66.1,298,0.018,134,6.26,109,10.85,49,105.7,102,99.4,121,First Round,1,San Diego State,6,62,,,41,41,Syracuse,ACC,25.00,16.00,9.00,0.64,9.00,7.00,0.563,13.00,1.00,2.00,7.00,1.00,1.00,1.00,3.00,1179.00,1147.00,73.7,71.7,1896.00,1768.00,75.8,70.7,676.00,1533.00,0.441,203.00,598.00,0.339,341.00,435.00,0.784,17.66,114.5,22,96.9,89,69.2,138,0.017,137,11.66,57,2.46,171,108.5,51,96.8,64,Syracuse,11,31
,,41,2021,41,Syracuse,0,ACC,25.00,16.00,9.00,0.64,9.00,7.00,0.563,13.00,1.00,2.00,7.00,1.00,1.00,1.00,3.00,1179.00,1147.00,73.7,71.7,1896.00,1768.00,75.8,70.7,676.00,1533.00,0.441,203.00,598.00,0.339,341.00,435.00,0.784,17.66,114.5,22,96.9,89,69.2,138,0.017,137,11.66,57,2.46,171,108.5,51,96.8,64,First Round,1,Syracuse,11,78,16,,20,24,San Diego State,Mountain West,27.00,23.00,4.00,0.852,14.00,3.00,0.824,13.00,2.00,6.00,2.00,4.00,0.00,2.00,0.00,1272.00,1036.00,74.8,60.9,2000.00,1635.00,74.1,60.6,695.00,1529.00,0.455,229.00,611.00,0.375,381.00,527.00,0.723,22.72,111.5,44,88.8,11,66.1,298,0.018,134,6.26,109,10.85,49,105.7,102,99.4,121,San Diego State,6,31
13,15,27,2021,10,West Virginia,0,Big 12,27.00,18.00,9.00,0.667,11.00,6.00,0.647,8.00,5.00,7.00,2.00,3.00,2.00,5.00,7.00,1327.00,1259.00,78.1,74.1,2087.00,1947.00,77.3,72.1,711.00,1660.00,0.428,196.00,549.00,0.357,469.00,654.00,0.717,21.75,116.8,11,95.1,65,69.6,114,-0.04,264,14.84,19,13.58,27,109.2,37,94.4,17,First Round,1,West Virginia,3,84,,,128,56,Morehead State,Ohio Valley,30.00,23.00,7.00,0.767,17.00,3.00,0.85,12.00,1.00,8.00,5.00,3.00,1.00,0.00,2.00,1420.00,1236.00,71,61.8,2065.00,1902.00,68.8,63.4,738.00,1601.00,0.461,197.00,562.00,0.351,392.00,575.00,0.682,5.32,100.9,214,95.5,72,65.6,312,0.152,3,-1.99,217,16.33,14,101.4,216,103.4,230,Morehead State,14,32
,,128,2021,56,Morehead State,1,Ohio Valley,30.00,23.00,7.00,0.767,17.00,3.00,0.85,12.00,1.00,8.00,5.00,3.00,1.00,0.00,2.00,1420.00,1236.00,71,61.8,2065.00,1902.00,68.8,63.4,738.00,1601.00,0.461,197.00,562.00,0.351,392.00,575.00,0.682,5.32,100.9,214,95.5,72,65.6,312,0.152,3,-1.99,217,16.33,14,101.4,216,103.4,230,First Round,1,Morehead State,14,67,13,15,27,10,West Virginia,Big 12,27.00,18.00,9.00,0.667,11.00,6.00,0.647,8.00,5.00,7.00,2.00,3.00,2.00,5.00,7.00,1327.00,1259.00,78.1,74.1,2087.00,1947.00,77.3,72.1,711.00,1660.00,0.428,196.00,549.00,0.357,469.00,654.00,0.717,21.75,116.8,11,95.1,65,69.6,114,-0.04,264,14.84,19,13.58,27,109.2,37,94.4,17,West Virginia,3,32
,,42,2021,27,Clemson,0,ACC,23.00,16.00,7.00,0.696,10.00,6.00,0.625,11.00,1.00,2.00,5.00,3.00,1.00,2.00,1.00,1032.00,1051.00,64.5,65.7,1502.00,1426.00,65.3,62,541.00,1264.00,0.428,192.00,555.00,0.346,228.00,298.00,0.765,17.59,107.6,99,99,20,64.2,338,0.123,7,14.19,29,11.65,42,109.5,33,95.3,30,First Round,1,Clemson,7,56,,24,34,40,Rutgers,Big Ten,26.00,15.00,11.00,0.577,10.00,10.00,0.5,10.00,4.00,4.00,6.00,1.00,1.00,1.00,7.00,1359.00,1371.00,68,68.6,1819.00,1774.00,70,68.2,696.00,1544.00,0.451,157.00,505.00,0.311,270.00,427.00,0.632,19.57,109.3,75,89.8,18,67.8,213,0.032,104,18.2,7,-5.43,285,112.4,4,94.2,13,Rutgers,10,33
,24,34,2021,40,Rutgers,0,Big Ten,26.00,15.00,11.00,0.577,10.00,10.00,0.5,10.00,4.00,4.00,6.00,1.00,1.00,1.00,7.00,1359.00,1371.00,68,68.6,1819.00,1774.00,70,68.2,696.00,1544.00,0.451,157.00,505.00,0.311,270.00,427.00,0.632,19.57,109.3,75,89.8,18,67.8,213,0.032,104,18.2,7,-5.43,285,112.4,4,94.2,13,First Round,1,Rutgers,10,60,,,42,27,Clemson,ACC,23.00,16.00,7.00,0.696,10.00,6.00,0.625,11.00,1.00,2.00,5.00,3.00,1.00,2.00,1.00,1032.00,1051.00,64.5,65.7,1502.00,1426.00,65.3,62,541.00,1264.00,0.428,192.00,555.00,0.346,228.00,298.00,0.765,17.59,107.6,99,99,20,64.2,338,0.123,7,14.19,29,11.65,42,109.5,33,95.3,30,Clemson,7,33
6,17,6,2021,8,Houston,1,American,27.00,24.00,3.00,0.889,14.00,3.00,0.824,15.00,0.00,5.00,3.00,4.00,0.00,1.00,0.00,1273.00,1001.00,74.9,58.9,2096.00,1562.00,77.6,57.9,739.00,1664.00,0.444,252.00,699.00,0.361,366.00,494.00,0.741,30.25,119.6,8,89.4,16,64.9,327,-0.009,201,6.57,106,1.63,186,103.7,151,97.1,74,First Round,1,Houston,2,87,,,151,60,Cleveland State,Horizon,26.00,19.00,7.00,0.731,16.00,4.00,0.8,9.00,2.00,8.00,5.00,2.00,0.00,0.00,1.00,1431.00,1359.00,71.6,68,1858.00,1835.00,71.5,70.6,684.00,1514.00,0.452,166.00,520.00,0.319,324.00,484.00,0.669,2.8,101.5,199,98.7,121,66.3,282,0.19,1,-1.09,199,21.21,6,105,114,106.1,337,Cleveland State,15,34
,,151,2021,60,Cleveland State,1,Horizon,26.00,19.00,7.00,0.731,16.00,4.00,0.8,9.00,2.00,8.00,5.00,2.00,0.00,0.00,1.00,1431.00,1359.00,71.6,68,1858.00,1835.00,71.5,70.6,684.00,1514.00,0.452,166.00,520.00,0.319,324.00,484.00,0.669,2.8,101.5,199,98.7,121,66.3,282,0.19,1,-1.09,199,21.21,6,105,114,106.1,337,First Round,1,Cleveland State,15,56,6,17,6,8,Houston,American,27.00,24.00,3.00,0.889,14.00,3.00,0.824,15.00,0.00,5.00,3.00,4.00,0.00,1.00,0.00,1273.00,1001.00,74.9,58.9,2096.00,1562.00,77.6,57.9,739.00,1664.00,0.444,252.00,699.00,0.361,366.00,494.00,0.741,30.25,119.6,8,89.4,16,64.9,327,-0.009,201,6.57,106,1.63,186,103.7,151,97.1,74,Houston,2,34
1,1,1,2021,1,Gonzaga,1,WCC,26.00,26.00,0.00,1,15.00,0.00,1,12.00,0.00,7.00,0.00,7.00,0.00,4.00,0.00,1363.00,1002.00,90.9,66.8,2395.00,1797.00,92.1,69.1,888.00,1612.00,0.551,190.00,520.00,0.365,429.00,590.00,0.727,38.05,126.8,1,88.8,10,74.8,4,0.018,136,7.82,94,5.99,106,105.7,100,97.9,96,Second Round,2,Gonzaga,1,87,,,39,32,Oklahoma,Big 12,25.00,15.00,10.00,0.6,9.00,8.00,0.529,10.00,3.00,4.00,7.00,1.00,0.00,5.00,7.00,1232.00,1179.00,72.5,69.4,1869.00,1731.00,74.8,69.2,670.00,1517.00,0.442,200.00,591.00,0.338,329.00,442.00,0.744,18.07,112.1,36,94.1,53,67.7,222,-0.038,260,12.45,48,0.59,203,108.2,55,95.7,38,Oklahoma,8,35
,,39,2021,32,Oklahoma,0,Big 12,25.00,15.00,10.00,0.6,9.00,8.00,0.529,10.00,3.00,4.00,7.00,1.00,0.00,5.00,7.00,1232.00,1179.00,72.5,69.4,1869.00,1731.00,74.8,69.2,670.00,1517.00,0.442,200.00,591.00,0.338,329.00,442.00,0.744,18.07,112.1,36,94.1,53,67.7,222,-0.038,260,12.45,48,0.59,203,108.2,55,95.7,38,Second Round,2,Oklahoma,8,71,1,1,1,1,Gonzaga,WCC,26.00,26.00,0.00,1,15.00,0.00,1,12.00,0.00,7.00,0.00,7.00,0.00,4.00,0.00,1363.00,1002.00,90.9,66.8,2395.00,1797.00,92.1,69.1,888.00,1612.00,0.551,190.00,520.00,0.365,429.00,590.00,0.727,38.05,126.8,1,88.8,10,74.8,4,0.018,136,7.82,94,5.99,106,105.7,100,97.9,96,Gonzaga,1,35
19,11,19,2021,17,Creighton,0,Big East,28.00,20.00,8.00,0.714,14.00,6.00,0.7,11.00,3.00,7.00,4.00,2.00,1.00,3.00,2.00,1535.00,1397.00,76.8,69.9,2155.00,1912.00,77,68.3,797.00,1675.00,0.476,272.00,742.00,0.367,289.00,450.00,0.642,22.73,115.6,14,92.8,40,69.1,144,0.001,172,12.52,45,-1.4,233,107.8,63,95.3,29,Second Round,2,Creighton,5,72,,,78,51,Ohio,MAC,23.00,16.00,7.00,0.696,9.00,5.00,0.643,8.00,3.00,4.00,4.00,4.00,0.00,0.00,1.00,1101.00,1064.00,78.6,76,1860.00,1685.00,80.9,73.3,686.00,1403.00,0.489,195.00,540.00,0.361,293.00,418.00,0.701,12.54,113.7,29,101.2,174,69.3,131,0.027,113,4.23,133,1.47,191,105.3,108,101.1,146,Ohio,13,36
,,78,2021,51,Ohio,1,MAC,23.00,16.00,7.00,0.696,9.00,5.00,0.643,8.00,3.00,4.00,4.00,4.00,0.00,0.00,1.00,1101.00,1064.00,78.6,76,1860.00,1685.00,80.9,73.3,686.00,1403.00,0.489,195.00,540.00,0.361,293.00,418.00,0.701,12.54,113.7,29,101.2,174,69.3,131,0.027,113,4.23,133,1.47,191,105.3,108,101.1,146,Second Round,2,Ohio,13,58,19,11,19,17,Creighton,Big East,28.00,20.00,8.00,0.714,14.00,6.00,0.7,11.00,3.00,7.00,4.00,2.00,1.00,3.00,2.00,1535.00,1397.00,76.8,69.9,2155.00,1912.00,77,68.3,797.00,1675.00,0.476,272.00,742.00,0.367,289.00,450.00,0.642,22.73,115.6,14,92.8,40,69.1,144,0.001,172,12.52,45,-1.4,233,107.8,63,95.3,29,Creighton,5,36
24,,14,2021,21,USC,0,Pac-12,29.00,22.00,7.00,0.759,15.00,5.00,0.75,13.00,2.00,7.00,3.00,2.00,2.00,1.00,1.00,1455.00,1287.00,72.8,64.4,2168.00,1888.00,74.8,65.1,788.00,1687.00,0.467,183.00,526.00,0.348,409.00,632.00,0.647,23.65,113.6,30,89.9,19,67.3,236,-0.006,194,11.13,64,5.03,128,108.1,57,97,70,Second Round,2,USC,6,85,12,6,22,12,Kansas,Big 12,28.00,20.00,8.00,0.714,12.00,6.00,0.667,13.00,1.00,4.00,6.00,2.00,1.00,8.00,6.00,1279.00,1164.00,71.1,64.7,2047.00,1841.00,73.1,65.8,737.00,1676.00,0.44,209.00,608.00,0.344,364.00,511.00,0.712,22.46,110.3,59,87.9,6,68.3,186,0.042,87,14.71,20,10.14,56,110,23,95.3,31,Kansas,3,37
12,6,22,2021,12,Kansas,0,Big 12,28.00,20.00,8.00,0.714,12.00,6.00,0.667,13.00,1.00,4.00,6.00,2.00,1.00,8.00,6.00,1279.00,1164.00,71.1,64.7,2047.00,1841.00,73.1,65.8,737.00,1676.00,0.44,209.00,608.00,0.344,364.00,511.00,0.712,22.46,110.3,59,87.9,6,68.3,186,0.042,87,14.71,20,10.14,56,110,23,95.3,31,Second Round,2,Kansas,3,51,24,,14,21,USC,Pac-12,29.00,22.00,7.00,0.759,15.00,5.00,0.75,13.00,2.00,7.00,3.00,2.00,2.00,1.00,1.00,1455.00,1287.00,72.8,64.4,2168.00,1888.00,74.8,65.1,788.00,1687.00,0.467,183.00,526.00,0.348,409.00,632.00,0.647,23.65,113.6,30,89.9,19,67.3,236,-0.006,194,11.13,64,5.03,128,108.1,57,97,70,USC,6,37
,20,36,2021,25,Oregon,0,Pac-12,26.00,20.00,6.00,0.769,14.00,4.00,0.778,11.00,2.00,7.00,2.00,2.00,2.00,0.00,1.00,1311.00,1229.00,72.8,68.3,1934.00,1753.00,74.4,67.4,715.00,1515.00,0.472,218.00,575.00,0.379,286.00,406.00,0.704,19.11,115.1,16,96,76,67.2,242,0.048,76,10.06,75,2.73,164,107.7,68,97.6,89,Second Round,2,Oregon,7,95,8,5,5,7,Iowa,Big Ten,29.00,21.00,8.00,0.724,14.00,6.00,0.7,14.00,2.00,6.00,4.00,1.00,2.00,8.00,5.00,1605.00,1437.00,80.3,71.9,2429.00,2086.00,83.8,71.9,863.00,1839.00,0.469,283.00,733.00,0.386,420.00,589.00,0.713,30.33,124.2,2,93.9,50,70,99,-0.028,240,16.91,13,-5.43,286,110.3,19,93.4,6,Iowa,2,38
